Strains,Replicate,N0,r,a11
0092a,25,4670,0.35652447220267103,-4.542947285766098e-08
0092a,26,4360,0.3438121490178968,-5.2667363773024957e-08
0092a,27,4660,0.3487249381659122,-4.8989680310697754e-08
0092a,28,4590,0.34727439412248307,-4.505339187281659e-08
0092a,29,4660,0.350060532559899,-4.583816080331165e-08
0092a,30,4560,0.35646220185003774,-4.4973724251582114e-08
0092a,31,4670,0.3569058215124884,-5.314225380073493e-08
0092a,32,4890,0.34093585932521797,-5.054148705648867e-08
0092a,33,4820,0.3444688582711454,-4.5686586970538144e-08
0092a,34,4290,0.3370671402582386,-5.149845625250081e-08
0092a,35,4670,0.3524087869449961,-4.4429547556346155e-08
0092a,36,4410,0.3484941371751663,-4.8674824143465703e-08
0092a,37,4820,0.35325766816747406,-5.285371750180881e-08
0092a,38,5120,0.34145320846509697,-4.060268763040022e-08
0092a,39,4770,0.35149088462718103,-4.673888590534407e-08
0092a,40,4820,0.34613464747152767,-5.061610050444843e-08
0092a,41,4660,0.35420089732812177,-5.065616775084796e-08
0092a,42,4830,0.34534154866640165,-4.859246424901618e-08
0092a,43,5080,0.34087075341377626,-4.70894035087874e-08
0092a,44,4940,0.3586889398525782,-4.431390251582648e-08
0092a,45,4770,0.3468203520065788,-4.5324251309379346e-08
0092a,46,4770,0.35330506969232334,-4.5946153769040283e-08
0092a,47,5020,0.33625315379756937,-4.8140928566083737e-08
0092a,48,4720,0.35055671625601503,-5.7390072279958686e-08
0092a,49,4660,0.34873216998719403,-4.842412679182993e-08
232,0,3690,0.21862299154551967,-7.77474091153879e-09
232,1,4400,0.2138185377938494,-7.081342853863713e-09
232,2,3770,0.21937273510760136,-8.157941848856959e-09
232,3,4050,0.22232975224934204,-8.184041175928314e-09
232,4,3840,0.21427999948987797,-8.195695316542348e-09
232,5,3690,0.21525575866344604,-6.554621066488136e-09
232,6,3660,0.2152369861735548,-7.758819924080851e-09
232,7,4400,0.22388612925820484,-8.202662038920958e-09
232,8,3870,0.22034348846508278,-7.4145724033438395e-09
232,9,4400,0.2170618969978989,-1.063077436325122e-08
232,10,3840,0.21580946758313768,-7.211760324599325e-09
232,11,4240,0.21454569725460337,-7.2498579813656886e-09
232,12,4400,0.21705597778428698,-1.0714272901798046e-08
232,13,4290,0.2160421658957442,-9.214918629444304e-09
232,14,3870,0.21938141427236257,-1.0713281315730183e-08
232,15,3790,0.2179969019938527,-8.8076686360319e-09
232,16,3910,0.22342935632921657,-9.14561833661343e-09
232,17,3840,0.21848545884549309,-8.494305994301647e-09
232,18,3660,0.21757507845014024,-9.830896366587137e-09
232,19,4170,0.21514746815115504,-7.73522026311094e-09
232,20,3790,0.21886126419177554,-9.025897356372266e-09
232,21,4240,0.22314041322359668,-8.001015253038267e-09
232,22,4070,0.2176622630371241,-6.855585898550002e-09
232,23,3840,0.22137719891867624,-8.294200791586492e-09
232,24,3690,0.21948341824695716,-8.771458745620672e-09
232,25,3970,0.21373620331323007,-7.776187759173088e-09
232,26,4050,0.20778852440210982,-7.711970716110218e-09
232,27,3570,0.2179792141466701,-6.78116334425576e-09
232,28,3670,0.21264276409254235,-6.913877813027385e-09
232,29,4170,0.21997522360498012,-7.943593723867034e-09
232,30,3840,0.21538287688571178,-8.3500638140382e-09
232,31,3840,0.21178455207902724,-8.308012787616821e-09
232,32,3880,0.21652324410405,-9.1549380779214e-09
232,33,3900,0.22051014338059816,-8.644906523952617e-09
232,34,4150,0.2156319569892594,-7.322905190464489e-09
232,35,3770,0.2101848988789229,-7.604572852105586e-09
232,36,4070,0.21793509913790277,-7.133310590767373e-09
232,37,3840,0.22620207849737928,-8.780171676407416e-09
232,38,4110,0.2202585836418557,-7.944817817567401e-09
232,39,3790,0.21523702774823483,-9.067852410470563e-09
232,40,3950,0.21756586571532588,-1.1444616330475077e-08
232,41,3820,0.21986326219836594,-7.23634488542226e-09
232,42,4010,0.21464993224866646,-9.264295503988886e-09
232,43,3880,0.2207295890816875,-8.659571247810234e-09
232,44,4210,0.2143080544413386,-8.098151298373673e-09
232,45,3900,0.22311781342273562,-9.040910021246262e-09
232,46,3690,0.214528878865074,-9.222183459994545e-09
232,47,3930,0.21555816540167638,-7.78643268361676e-09
232,48,3870,0.22306462428148455,-1.0058989254721499e-08
232,49,4270,0.21107673949695638,-8.109085172396621e-09
460,0,150,0.4128946093811179,-1.6433068719063227e-08
460,1,150,0.41030650471454877,-1.8146966796702907e-08
460,2,150,0.43567869057023856,-1.666957865739481e-08
460,3,150,0.40809718989429355,-1.3615404609749961e-08
460,4,150,0.40647633876622125,-1.3650805009297808e-08
460,5,150,0.4422536355156991,-2.373060310601583e-08
460,6,150,0.4119449262030973,-2.0882901905325487e-08
460,7,150,0.40373485070245907,-1.944590823925913e-08
460,8,150,0.3938723178440674,-1.637307561748895e-08
460,9,150,0.46278467934267886,-2.162030814023013e-08
460,10,150,0.46447504729379885,-2.4612560948713186e-08
460,11,110,0.44172207347459447,-2.0640575314731393e-08
460,12,110,0.42191750667429073,-1.9259183474342486e-08
460,13,110,0.44773718869681134,-2.1198124847476722e-08
460,14,110,0.42224912971066486,-1.960526778565273e-08
460,15,110,0.4528378942731578,-2.1766045241799583e-08
460,16,150,0.40713414100387746,-1.1536015761622773e-08
460,17,110,0.4559691560517283,-2.2142966236852684e-08
460,18,110,0.40988338571280813,-1.6242689755814376e-08
460,19,150,0.4343929699894168,-2.7289801902368512e-08
460,20,150,0.4709481928404248,-1.9432656172834693e-08
460,21,150,0.47900234494367777,-2.398734565524876e-08
460,22,150,0.4615228246269033,-1.6833809867578293e-08
460,23,110,0.4581490490153062,-1.8750709901827297e-08
460,24,150,0.45151747370294115,-2.9052890177025304e-08
460,25,150,0.38289935773670625,-1.2601805760736556e-08
460,26,90,0.4506504741357187,-2.0094444483736374e-08
460,27,90,0.45335381979810385,-2.0526624952323303e-08
460,28,90,0.4329399556895599,-2.0366213035302315e-08
460,29,110,0.4039769667116998,-1.79210821033653e-08
460,30,90,0.4329165757680834,-2.061430291046163e-08
460,31,150,0.47628096933931685,-1.9782305332027505e-08
460,32,90,0.4533749154546052,-1.8511512732402116e-08
460,33,90,0.4314726697192043,-1.5949032713798946e-08
460,34,80,0.45553415649709916,-1.9075844257009134e-08
460,35,80,0.4552708658081238,-1.7531187376673725e-08
460,36,90,0.47494649144522194,-2.3424627073367386e-08
460,37,150,0.48053747308247374,-1.9357477036512483e-08
460,38,150,0.43820514993601467,-3.0260861863481885e-08
460,39,90,0.41716162832739634,-1.4526764879696345e-08
460,40,80,0.4153203745653351,-1.5383367112515586e-08
460,41,90,0.4773575266780016,-2.2077327291432765e-08
460,42,150,0.4662462850938266,-1.5988108347512593e-08
460,43,110,0.479925430138219,-2.1435028930515484e-08
460,44,80,0.47550536107756547,-2.566419824866907e-08
460,45,80,0.4112492367231596,-1.6502625466627557e-08
460,46,90,0.4126378125373644,-1.8841916480787336e-08
460,47,110,0.39310444222648566,-1.3488746829375114e-08
460,48,90,0.4640173103276245,-2.7468960864513537e-08
460,49,110,0.45220246244198514,-2.914582139612816e-08
550,0,7350,0.16574436290507255,-1.2267114288819706e-08
550,1,7290,0.1677352311754442,-1.3568831059615988e-08
550,2,6720,0.16948969010829995,-1.3043816258860904e-08
550,3,7290,0.16692482895909266,-1.1567782079563729e-08
550,4,6910,0.1678752451084009,-1.3149803724214616e-08
550,5,7700,0.16608929189995736,-1.1536235652747598e-08
550,6,7590,0.1634768207577314,-1.1946587595888013e-08
550,7,7290,0.17057775244035434,-1.2761383089561094e-08
550,8,6760,0.16508123058358937,-1.077164715191131e-08
550,9,6910,0.16403328520656624,-1.2514949334971163e-08
550,10,6820,0.16842347837710359,-1.3709934957512352e-08
550,11,6820,0.16805766788347198,-1.3734963209572043e-08
550,12,7230,0.16306621900545704,-1.1236454975908e-08
550,13,7250,0.1686062619513955,-1.4173705398923061e-08
550,14,7350,0.1630807693051085,-1.2699588413615514e-08
550,15,7210,0.1664045281975769,-1.1660996388792267e-08
550,16,7530,0.1697581484458217,-1.2764118845963564e-08
550,17,7360,0.16925555125600622,-1.2077724655408705e-08
550,18,7360,0.16355972018909826,-1.0754490404578546e-08
550,19,7050,0.17119068245036462,-1.2619552970774468e-08
550,20,7340,0.16774380895701424,-1.3515561936916853e-08
550,21,7250,0.16562475832920354,-1.1750812863210724e-08
550,22,7880,0.1644056710761166,-1.1781436114457416e-08
550,23,7360,0.1666834077434356,-1.2214399306550964e-08
550,24,7210,0.16455649251959314,-1.3077666289425013e-08
550,25,7100,0.16962432167248565,-1.1795844008742803e-08
550,26,7470,0.16629431216925128,-1.1501700441731963e-08
550,27,6780,0.16601141178822643,-1.401972055487157e-08
550,28,7490,0.1657775127876182,-1.361128187307887e-08
